Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3547696953040115,0.12586153670610115
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.35469211921175386,0.125806499430925
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,0.3546921192117536,0.1258064994309248
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3546921192117536,0.1258064994309248
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.35359476978981613,0.12502926122271307
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.35359476978981613,0.12502926122271307
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.35359476978981547,0.1250292612227126
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.3535137513798066,0.12497197241462372
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.35351375137980656,0.12497197241462368
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.35351375137980656,0.12497197241462368
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.35286057236532475,0.12451058352998459
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.352741505578031,0.12442656975745608
Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.352741505578031,0.12442656975745608
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.35274150557803097,0.12442656975745606
