Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3393823860257201,0.11518040394451087
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3393823860257201,0.11518040394451087
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3391294996537083,0.11500881753537455
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.33900226578928333,0.11492253621026789
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.3390022657892829,0.1149225362102676
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.33900226578928283,0.11492253621026756
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.33870252215506363,0.11471939851420138
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.33857396894639685,0.1146323324481157
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,0.33857396894639674,0.11463233244811563
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3385739689463967,0.11463233244811559
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.33835865714766084,0.11448658086676829
Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.33835865714766084,0.11448658086676829
