Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3147160805768273,0.09904621137364006
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3147160805768273,0.09904621137364006
AverageParticleSpeed,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3136588323695129,0.0983818631234062
AverageParticleSpeed,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.313178380850874,0.0980806982323751
AverageParticleSpeed,KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.31309179526055286,0.09802647225947596
AverageParticleSpeed,KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3126117724343852,0.09772612026456784
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3122123810131278,0.0974765708578865
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3122123810131278,0.0974765708578865
AverageParticleSpeed,KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.31181683507158015,0.09722973863405701
AverageParticleSpeed,KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3116116312129137,0.09710180870717293
AverageParticleSpeed,KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.3116116312129135,0.09710180870717282
KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3116116312129135,0.09710180870717282
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.31160431590912735,0.09709724969319523
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.31160431590912735,0.09709724969319523
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.31160431590912735,0.09709724969319523
